name,quality,rarity,position,chemistry,nationality,league,club,BuyPrice
,,TEAM OF THE SEASON MOMENTS,,,,LaLiga Santander (ESP 1),,26000
,,Team of the Season,,,,Premier League (ENG 1),,24000
,,Team of the Season,Midfielders,,,LaLiga Santander (ESP 1),,30000
,,TEAM OF THE SEASON MOMENTS,CB,,France,Bundesliga (GER 1),,27000
,,Team of the Season,GK,,,Ligue 1 Uber Eats (FRA 1),,29000
,,Team of the Season,GK,,,Serie A TIM (ITA 1),,27000
,,TEAM OF THE SEASON MOMENTS,Defenders,,,LaLiga Santander (ESP 1),,30000
,,TEAM OF THE SEASON MOMENTS,Defenders,,,Premier League (ENG 1),,28000
,,FUT Heroes,Defenders,,,,,14000
,,FUT Heroes,GK,,,,,13000
,,Team of the Season,,,,,,18500
,,Team of the Season,,,,,,18500
,,Team of the Season,,,,,,18500
,,Team of the Season,,,,,,18500
,,TEAM OF THE SEASON MOMENTS,,,,Premier League (ENG 1),,26000
,,Team of the Season,,,Brazil,Premier League (ENG 1),,50000
,,Team of the Season,Midfielders,,,Premier League (ENG 1),Arsenal,50000
,,FUT Heroes,,,,Serie A TIM (ITA 1),,15000
,,World Cup Hero,,,Argentina,,,32000
,,World Cup Hero,,,Netherlands,,,32000
,,Team of the Season,,,Argentina,LaLiga Santander (ESP 1),,30000
Brolin,,World Cup Hero,,,,,,90000
Saeed Al Owairan,,,,,,,,16000
